"st","naz","knaz","hcol"
107752,"DRŽAVLJANSKO GIBANJE RESNI.CA","RESNI.CA","7e5096"
107759,"MI, SOCIALISTI!","MI, SOCIALISTI!","fb4c48"
107750,"GLAS UPOKOJENCEV PAVLA RUPARJA","GLAS UPOKOJENCEV","020437"
107757,"SLOVENSKA DEMOKRATSKA STRANKA - SDS","SDS","FFE53F"
107760,"LEVICA IN VESNA","LEVICA IN VESNA","b30020"
107799,"KARL ERJAVEC STRANKA ZAUPANJE","ZAUPANJE","89aedb"
107761,"PREROD - STRANKA VLADIMIRJA PREBILIČA","PREROD","ed0990"
107753,"SOCIALNI DEMOKRATI","SD","cb000d"
107756,"PIRATSKA STRANKA SLOVENIJE","PIRATI","000000"
107749,"NOVA SLOVENIJA, SLOVENSKA LJUDSKA STRANKA, FOKUS MARKA LOTRIČA","NSi, SLS, FOKUS","009ac7"
107754,"GIBANJE SVOBODA","SVOBODA","0063a6"
107758,"ZELENI SLOVENIJE + SG STRANKA GENERACIJ","ZELENI+SG","75a948"
107803,"SLOGA","SLOGA","023463"
107801,"REŠITEV - STRANKA UPOKOJENCEV VELENJE, SLOVENIJA","REŠITEV","ADA702"
107755,"DEMOKRATI. ANŽETA LOGARJA","DEMOKRATI.","01beac"
107751,"SLOVENSKA NACIONALNA STRANKA - SNS","SNS","4d4d4d"
107800,"KOALICIJA ALTERNATIVA ZA SLOVENIJO (STRANKA NIČ OD TEGA IN STRANKA ZA ZDRAVO DRUŽBO)","ALTERNATIVA","F3808A"
