06;03;2026;09;20
21
241151;POVEŽIMO SLOVENIJO (KONKRETNO, ZELENI, SLS, NLS, NS);POVEŽIMO SLOVENIJO (KONKRETNO, ZELENI, SLS, NLS, NS);E8AB02
241145;LISTA MARJANA ŠARCA - LMŠ;LISTA MARJANA ŠARCA - LMŠ;23A567
241148;NESTRANKARSKA LJUDSKA LISTA GIBANJA ZDRAVA DRUŽBA;NESTRANKARSKA LJUDSKA LISTA GIBANJA ZDRAVA DRUŽBA;ADA702
241153;SLOVENSKA NACIONALNA STRANKA - SNS;SLOVENSKA NACIONALNA STRANKA - SNS;4D4D4D
241140;RESNI.CA;Državljansko gibanje Resni.ca;67359A
241143;LEVICA;LEVICA;FB4C48
241147;NAŠA PRIHODNOST IN DOBRA DRŽAVA;NAŠA PRIHODNOST IN DOBRA DRŽAVA;8DE0FD
241152;SLOVENSKA DEMOKRATSKA STRANKA - SDS;SLOVENSKA DEMOKRATSKA STRANKA - SDS;FFE53F
241154;SOCIALNI DEMOKRATI - SD;SOCIALNI DEMOKRATI - SD;CB000D
241149;NSi;NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI;009AC7
241155;STRANKA ALENKE BRATUŠEK;STRANKA ALENKE BRATUŠEK;F3808A
241142;Gibanje Zedinjena Slovenija - ZSi;Gibanje Zedinjena Slovenija - ZSi;C6EFFA
241138;DeSUS - DEMOKRATIČNA STRANKA UPOKOJENCEV SLOVENIJE;DeSUS - DEMOKRATIČNA STRANKA UPOKOJENCEV SLOVENIJE;8DBC15
241156;VESNA;VESNA - zelena stranka;C9FFA1
241144;Lista Borisa Popoviča - Digitalizirajmo Slovenijo;Lista Borisa Popoviča - Digitalizirajmo Slovenijo;0089CD
241146;NAŠA DEŽELA;NAŠA DEŽELA stranka dr. ALEKSANDRE PIVEC;126C00
241150;PIRATI;PIRATSKA STRANKA SLOVENIJE;000000
241157;ZA LJUDSTVO SLOVENIJE  - ZLS;ZA LJUDSTVO SLOVENIJE  - ZLS;89AEDB
241141;SVOBODA;GIBANJE SVOBODA;005DA3
241139;DOMOVINSKA LIGA - DOM;DOMOVINSKA LIGA - DOM;023463
241158;ZOS - ZAVEZNIŠTVO OSVOBODIMO SLOVENIJO (GIBANJE ZEDINJENA SLOVENIJA - ZSI IN STRANKA SLOVENSKEGA NARODA - SSN);ZOS - ZAVEZNIŠTVO OSVOBODIMO SLOVENIJO (GIBANJE ZEDINJENA SLOVENIJA - ZSI IN STRANKA SLOVENSKEGA NARODA - SSN);129847
1203373;1192293;11080;99,08
241151;40612;3,41;0
241145;44401;3,72;0
241148;21021;1,76;0
241153;17736;1,49;0
241140;34107;2,86;0
241143;53234;4,46;5
241147;20279;1,70;0
241152;279897;23,48;27
241154;79709;6,69;7
241149;81794;6,86;8
241155;31117;2,61;0
241142;168;0,01;0
241138;7840;0,66;0
241156;16089;1,35;0
241144;5174;0,43;0
241146;17846;1,50;0
241150;19480;1,63;0
241157;8340;0,70;0
241141;410769;34,45;41
241139;2117;0,18;0
241158;563;0,05;0
1;VE 1000 - KRANJ;0;VE 1000 - KRANJ;154700;153154;1546;99,00
1;VE 1000 - KRANJ;1;VO 1001 - JESENICE;16981;16756;225;98,67
1;VE 1000 - KRANJ;2;VO 1002 - RADOVLJICA 1;10215;10110;105;98,97
1;VE 1000 - KRANJ;3;VO 1003 - RADOVLJICA 2;11916;11790;126;98,94
1;VE 1000 - KRANJ;4;VO 1004 - KRANJ 1;14738;14622;116;99,21
1;VE 1000 - KRANJ;5;VO 1005 - KRANJ 2;14995;14862;133;99,11
1;VE 1000 - KRANJ;6;VO 1006 - KRANJ 3;19276;19102;174;99,10
1;VE 1000 - KRANJ;7;VO 1007 - TRŽIČ;8915;8808;107;98,80
1;VE 1000 - KRANJ;8;VO 1008 - ŠKOFJA LOKA 1;14237;14112;125;99,12
1;VE 1000 - KRANJ;9;VO 1009 - ŠKOFJA LOKA 2;12209;12105;104;99,15
1;VE 1000 - KRANJ;10;VO 1010 - KAMNIK;21283;21106;177;99,17
1;VE 1000 - KRANJ;11;VO 1011 - IDRIJA;9935;9781;154;98,45
2;VE 2000 - POSTOJNA;0;VE 2000 - POSTOJNA;145586;144035;1551;98,93
2;VE 2000 - POSTOJNA;1;VO 2001 - TOLMIN;11449;11348;101;99,12
2;VE 2000 - POSTOJNA;2;VO 2002 - PIRAN;9350;9246;104;98,89
2;VE 2000 - POSTOJNA;3;VO 2003 - IZOLA;8556;8451;105;98,77
2;VE 2000 - POSTOJNA;4;VO 2004 - KOPER 1;11976;11824;152;98,73
2;VE 2000 - POSTOJNA;5;VO 2005 - KOPER 2;17378;17233;145;99,17
2;VE 2000 - POSTOJNA;6;VO 2006 - SEŽANA;15218;15025;193;98,73
2;VE 2000 - POSTOJNA;7;VO 2007 - ILIRSKA BISTRICA;7868;7740;128;98,37
2;VE 2000 - POSTOJNA;8;VO 2008 - POSTOJNA;12509;12379;130;98,96
2;VE 2000 - POSTOJNA;9;VO 2009 - NOVA GORICA 1;18329;18164;165;99,10
2;VE 2000 - POSTOJNA;10;VO 2010 - NOVA GORICA 2;17405;17258;147;99,16
